Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,ZIP
2014,TANANA VALLEY CLINIC,0,0,1,0,62,,AK,FAIRBANKS,99701
2014,DEPT OF VETERANS AFFAIRS BIRMINGHA,0,0,1,0,62,,AL,BIRMINGHAM,35233
2014,AL SCHOOL OF MATHEMATICS & SCIENCE,0,0,1,0,99,,AL,MOBILE,36604
2014,PACWORX INC,0,1,0,0,54,,AZ,PHOENIX,85009
2014,ABLE CHEMICAL TECHNOLOGY INC,1,0,0,0,32,,CA,ARCADIA,91006
2014,BAKER VALLEY UNIFIED SCHOOL DISTRI,0,0,1,0,61,,CA,BAKER,92309
2014,DRIFTWOOD DAIRY A CORP,1,0,0,0,31,,CA,EL MONTE,91731
2014,"BETA SOFT SYSTEMS, INC",0,1,0,0,54,,CA,FREMONT,94538
2014,ITV CN D/B/A ITV CN MEDIA,0,1,0,0,99,,CA,FREMONT,94539
2014,SYSTECH SOLUTINS INC,1,0,0,0,54,,CA,GLENDALE,91203
2014,"SYSTELLEX, INC",1,0,0,0,54,,CA,LAGUNA HILLS,92653
2014,ROYALTY HOTELS INC DBA SKYLARK SHO,0,1,0,0,72,,CA,LAKEPORT,95453
2014,A & A LOGISTICS LLC,0,0,1,0,48,,CA,LONG BEACH,90802
2014,CENTROPOLIS ENTERTAINMENT,1,0,0,0,71,,CA,LOS ANGELES,90046
2014,CALIFORNIA DEPT OF WATER RESOURCES,1,0,0,0,92,,CA,SACRAMENTO,95814
2014,X TEAM LLC,1,0,0,0,54,,CA,SAN FRANCISCO,94108
2014,CALVARY BAPTIST DBA SAN FRANCISCO,0,0,1,0,61,,CA,SAN FRANCISCO,94112
2014,FJ PRODUCTIONS INC,1,0,0,0,51,,CA,SHERMAN OAKS,91403
2014,STELLAR FOODS INC D/B/A HOTEL SARA,0,1,0,0,99,,CA,SUNNYVALE,94087
2014,GSI TECHNOLOGY INC,1,0,0,0,99,,CA,SUNNYVALE,94089
2014,GREAT FOOD CORP D/B/A THALI,0,0,1,0,99,,CT,NEW CANAAN,06840
